,First choice,Second choice,Third choice
38,Beverly Hills Cop ,The West Wing: Season 1 ,Blazing Saddles 
39,Mean Girls ,The Silence of the Lambs ,I 
40,My Life ,Mission: Impossible II ,Unforgiven 
41,Planet of the Apes ,Men in Black II ,Lean on Me 
42,Lost in Translation ,Mars Attacks! ,The Exorcist 
43,Ray ,Men in Black II ,The Fifth Element 
44,Little Women ,Planet of the Apes ,Shrek (Full-screen) 
45,The Exorcist ,My Life ,XXX: Special Edition 
46,Dirty Dancing ,Dirty Dancing ,Confessions of a Dangerous Mind 
47,The Lost World: Jurassic Park ,I ,The Exorcist 
48,Final Destination ,Lean on Me ,Confessions of a Dangerous Mind 
49,The Lost World: Jurassic Park ,Planet of the Apes ,Say Anything 
50,The Lost World: Jurassic Park ,Down With Love ,Lost in Translation 
51,Beetlejuice ,I ,Say Anything 
52,Planet of the Apes ,Lean on Me ,Down With Love 
53,The West Wing: Season 1 ,Down With Love ,You've Got Mail 
54,Mean Girls ,The Silence of the Lambs ,Lean on Me 
55,Mean Girls ,Swordfish ,Little Women 
56,Planet of the Apes ,The Lost World: Jurassic Park ,Beetlejuice 
57,I ,Say Anything ,Little Women 
58,Say Anything ,Planet of the Apes ,Ray 
59,The Silence of the Lambs ,Swordfish ,Shrek (Full-screen) 
60,Beverly Hills Cop ,My Life ,Willy Wonka & the Chocolate Factory 
61,Dirty Dancing ,Lean on Me ,The Fifth Element 
62,Mean Girls ,Mars Attacks! ,My Life 
63,Mean Girls ,Beverly Hills Cop ,The Lost World: Jurassic Park 
64,You've Got Mail ,Little Women ,Final Destination 
65,Beverly Hills Cop ,Blazing Saddles ,Lost in Translation 
66,Willy Wonka & the Chocolate Factory ,I ,Little Women 
67,Lean on Me ,Men in Black II ,Down With Love 
68,Beetlejuice ,The Fifth Element ,Mission: Impossible II 
69,Beverly Hills Cop ,My Life ,Blazing Saddles 
70,Say Anything ,Willy Wonka & the Chocolate Factory ,Lethal Weapon 4 
71,Down With Love ,Beetlejuice ,Unforgiven 
72,XXX: Special Edition ,I ,Unforgiven 
73,Mission: Impossible II ,Unforgiven ,Lost in Translation 
74,Lethal Weapon 4 ,Lost in Translation ,Lost in Translation 
75,I ,XXX: Special Edition ,Mission: Impossible II 
76,Entrapment ,Lethal Weapon 4 ,You've Got Mail 
77,Mars Attacks! ,Mars Attacks! ,Swordfish 
78,Little Women ,Mean Girls ,I 
79,Men in Black II ,Lost in Translation ,Unforgiven 
80,Ray ,Mission: Impossible II ,Mars Attacks! 
81,The Lost World: Jurassic Park ,My Life ,The Fifth Element 
82,Lost in Translation ,Down With Love ,XXX: Special Edition 
83,The West Wing: Season 1 ,Entrapment ,The Exorcist 
84,Ray ,My Life ,Lost in Translation 
85,Lean on Me ,Lethal Weapon 4 ,Beverly Hills Cop 
86,Entrapment ,Swordfish ,You've Got Mail 
87,Mars Attacks! ,Planet of the Apes ,Say Anything 
88,The West Wing: Season 1 ,Mars Attacks! ,I 
89,Men in Black II ,Dirty Dancing ,The Silence of the Lambs 
90,Down With Love ,Lean on Me ,Ray 
91,Planet of the Apes ,Entrapment ,I 
92,The Silence of the Lambs ,Dirty Dancing ,Shrek (Full-screen) 
93,Unforgiven ,Little Women ,My Life 
94,The Lost World: Jurassic Park ,Shrek (Full-screen) ,Swordfish 
95,Lost in Translation ,Mars Attacks! ,Lean on Me 
96,Final Destination ,Unforgiven ,Ray 
97,Entrapment ,Willy Wonka & the Chocolate Factory ,Ray 
98,Planet of the Apes ,Entrapment ,Willy Wonka & the Chocolate Factory 
99,The Lost World: Jurassic Park ,The West Wing: Season 1 ,You've Got Mail 
